Marca,Modelo,Condicao,Memoria,Bateria,Preco,TempoConta,Vendas,Golpe
Apple,iPhone 11 Pro Max,Usado - Excelente,32,Perfeita (95% ate 100%),826.73,154,6,Sim
Apple,iPhone XS,Novo,512,Muito Ruim (abaixo de 39%),727.88,61,11,Sim
Apple,iPhone XS,Usado - Excelente,128,Perfeita (95% ate 100%),1534.46,200,2,Sim
Apple,iPhone 11 Pro,Novo,128,Boa (80% ate 94%),3163.91,11,14,Sim
Apple,iPhone 11 Pro,Com defeito,256,Boa (80% ate 94%),3776.02,138,19,Sim
Apple,iPhone 11,Novo,128,Ruim (40% ate 59%),1791.06,298,3,Sim
Apple,iPhone 12 Mini,Novo,32,Ok (60% ate 79%),1693.8,85,19,Sim
Apple,iPhone 12 Mini,Recondicionado,128,Muito Ruim (abaixo de 39%),1771.3,327,2,Sim
Apple,iPhone 11 Pro Max,Recondicionado,64,Muito Ruim (abaixo de 39%),3303.98,88,10,Sim
Apple,iPhone 12 Mini,Usado - Bom,32,Perfeita (95% ate 100%),3306.06,327,14,Sim
Apple,iPhone 11 Pro,Usado - Excelente,1024,Boa (80% ate 94%),2694.24,182,9,Sim
Apple,iPhone 12 Pro Max,Novo,512,Ruim (40% ate 59%),3764.57,236,20,Sim
Apple,iPhone 11,Novo,128,Perfeita (95% ate 100%),910.1,357,1,Sim
Apple,iPhone 11 Pro Max,Com defeito,128,Perfeita (95% ate 100%),2833.3,28,10,Sim
Apple,iPhone 12 Mini,Novo,512,Ok (60% ate 79%),1866.73,195,3,Sim
Apple,iPhone 11 Pro,Com defeito,128,Boa (80% ate 94%),2304.2,352,10,Sim
Apple,iPhone 12 Pro Max,Com defeito,512,Ruim (40% ate 59%),1166.42,233,16,Sim
Apple,iPhone XS,Recondicionado,256,Muito Ruim (abaixo de 39%),1878.32,128,12,Nao
Apple,iPhone 12,Usado - Bom,32,Ok (60% ate 79%),3676.11,38,11,Sim
Apple,iPhone XS,Usado - Bom,128,Muito Ruim (abaixo de 39%),1774.4,355,15,Sim
